PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,PASS ATT,RUSH ATT,TARGETS,TOUCHES,TOUCHES/$,own% ownership
Brenton Strange,TE,JAX,CLE,-174,42,-3.5,22.75,2500,1.96,0.8,0,0,1.1,1.1,0.4,0.14
Lucas Krull,TE,DEN,PIT,132,36.5,3,16.75,2500,1.96,0.8,0,0,1.3,1.3,0.5,0.14
Marvin Mims,WR,DEN,PIT,132,36.5,3,16.75,3300,2.76,0.8,0,0.1,1.5,1.6,0.5,0.13
Darnell Washington,TE,PIT,DEN,-157,36.5,-3,19.75,2500,1.96,0.8,0,0,1.2,1.2,0.5,0.12
Parker Washington,WR,JAX,CLE,-174,42,-3.5,22.75,3100,2.57,0.8,0,0.1,1.5,1.6,0.5,0.11
KaVontae Turpin,WR,DAL,NO,-300,46,-6.5,26.25,3400,2.57,0.8,0,0.6,1,1.6,0.5,0.1
Derius Davis,WR,LAC,CAR,-283,39,-6.5,22.75,3000,2.47,0.8,0,0.3,1.1,1.4,0.5,0.1
Jake Bobo,WR,SEA,NE,-180,38,-3.5,20.75,3000,2.3,0.8,0,0,1.3,1.3,0.4,0.1
Eric Gray,RB,NYG,WAS,106,44,1.5,21.25,4100,3.11,0.8,0,3.3,0.9,4.2,1,0.1
Austin Hooper,TE,NE,SEA,149,38,3.5,17.25,3000,2.53,0.8,0,0,1.6,1.6,0.5,0.09
Pierre Strong,RB,CLE,JAX,145,42,3.5,19.25,4000,3.35,0.8,0,2.5,1.3,3.8,1,0.09
Xavier Gipson,WR,NYJ,TEN,-186,41,-3.5,22.25,3400,2.55,0.8,0,0.2,1.3,1.5,0.5,0.09
Josh Oliver,TE,MIN,SF,216,45.5,6,19.75,3400,2.69,0.8,0,0,1.6,1.6,0.5,0.08
Kylen Granson,TE,IND,GB,-175,40.5,-3.5,22,2900,2.29,0.8,0,0,1.4,1.4,0.5,0.08
Brock Wright,TE,DET,TB,-332,51.5,-7,29.25,2600,1.75,0.7,0,0,0.9,0.9,0.3,0.08
Tommy Tremble,TE,CAR,LAC,228,39,6.5,16.25,2500,1.83,0.7,0,0,1.2,1.2,0.5,0.08
Braelon Allen,RB,NYJ,TEN,-186,41,-3.5,22.25,5000,3.49,0.7,0,4.1,0.6,4.7,0.9,0.07
Jalen Nailor,WR,MIN,SF,216,45.5,6,19.75,3900,2.87,0.7,0,0,2.2,2.2,0.6,0.07
Drew Sample,TE,CIN,KC,208,47.5,6,20.75,2500,1.8,0.7,0,0,1.1,1.1,0.4,0.07
Davis Allen,TE,LAR,ARI,103,49.5,1.5,24,2800,2.05,0.7,0,0,1.1,1.1,0.4,0.07
Emari Demercado,RB,ARI,LAR,-123,49.5,-1.5,25.5,4400,3.11,0.7,0,1.4,1.4,2.8,0.6,0.06
Bo Melton,WR,GB,IND,145,40.5,3.5,18.5,3200,1.76,0.6,0,0,1,1,0.3,0.06
